K_cycles_per_s,analysis,condition,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,delta_intervention_mean_R2,delta_intervention_mean_R4,frequency_hz,phase_offset_deg,post_driver_recovery_mean_R1,replicate,test_driver_locking_plv,test_lock_fraction,test_longest_lock_run_s,test_mean_R1
,external_driver_phase_disruption,,0.17267080762085568,0.1646494716598143,0.08245818458212296,-0.016400600464362716,33.8,0,,19,,,,
,external_driver_phase_disruption,,0.19735162474333315,0.17390906578853862,0.01868346879722059,0.006371775560484655,33.8,0,,20,,,,
,external_driver_phase_disruption,,0.15697119043779112,0.14905414845169512,0.03180596512236104,-0.004611746007349524,33.8,0,,21,,,,
,external_driver_phase_disruption,,0.13375605775970167,0.128789935340078,0.04850797529351045,0.026197219886285317,33.8,0,,22,,,,
,external_driver_phase_disruption,,0.12348639420153967,0.12009231750702776,0.0826558083584798,-0.004386575406716109,33.8,0,,23,,,,
,external_driver_phase_disruption,,0.1995320843785464,0.18755297465920479,0.011261073208521627,-0.017898218548280373,7.83,30,,0,,,,
,external_driver_phase_disruption,,0.21795469403605053,0.20211331821081946,0.09543254079874543,-0.018969851183615064,7.83,30,,1,,,,
,external_driver_phase_disruption,,0.11015933229981023,0.10023736088803253,0.04816375244955351,0.028756721288954665,7.83,30,,2,,,,
,external_driver_phase_disruption,,0.17753141123525246,0.17161638948920405,0.02989657485972344,-0.027113168288982345,7.83,30,,3,,,,
,external_driver_phase_disruption,,0.17976299214249736,0.15904616562515037,-0.03746930035649959,-0.008503887522712528,7.83,30,,4,,,,
,external_driver_phase_disruption,,0.14718640204176256,0.14076822791512933,0.051689195445197164,-0.016185194769696695,7.83,30,,5,,,,
,external_driver_phase_disruption,,0.10177656770823501,0.0937695983469734,0.029154297536268067,0.0017781251779746682,7.83,30,,6,,,,
,external_driver_phase_disruption,,0.2615067525701855,0.1868438258600337,0.021398067912363775,0.01921451590859835,7.83,30,,7,,,,
,external_driver_phase_disruption,,0.21463018156441216,0.209872647253517,0.14663976460856937,-0.004052212978268438,7.83,30,,8,,,,
,external_driver_phase_disruption,,0.08774763413259976,0.0711656085558893,0.002097340064619771,0.009507984290638538,7.83,30,,9,,,,
,external_driver_phase_disruption,,0.1159117098762848,0.1102941024584278,0.03246753594371271,0.03936947528439194,7.83,30,,10,,,,
,external_driver_phase_disruption,,0.18047041645490494,0.16776097891573166,0.01776571694752077,0.0061617245551889716,7.83,30,,11,,,,
,external_driver_phase_disruption,,0.12331020999577624,0.11687958942678589,0.052274986559276135,-0.00964405905246421,7.83,30,,12,,,,
,external_driver_phase_disruption,,0.14189909917211596,0.140101018810326,0.095629516097268,0.027013745645480175,7.83,30,,13,,,,
,external_driver_phase_disruption,,0.14166608441875894,0.09182161740840913,-0.011611243365228813,-0.0002165841419914244,7.83,30,,14,,,,
,external_driver_phase_disruption,,0.1678912225298423,0.16014406359532857,0.14839275119811204,-0.015797124714443028,7.83,30,,15,,,,
,external_driver_phase_disruption,,0.18839819245613437,0.17702283499752752,0.05037387621944696,-0.016865878768355796,7.83,30,,16,,,,
,external_driver_phase_disruption,,0.1750433176120764,0.16356397762293112,0.05625435845450533,-0.027374483546684897,7.83,30,,17,,,,
,external_driver_phase_disruption,,0.1477102122882801,0.12673201588235794,0.005365143356791308,-0.011143797785714171,7.83,30,,18,,,,
,external_driver_phase_disruption,,0.12925406395598973,0.09796726695255187,0.004360251441488952,-0.02294345885277757,7.83,30,,19,,,,
,external_driver_phase_disruption,,0.10706808453222699,0.10413263839932463,0.062325447125403666,0.04318595390307867,7.83,30,,20,,,,
