K_cycles_per_s,analysis,ci95_halfwidth,ci95_high,ci95_low,condition,mean,metric,n,phase_offset_deg,sd,sem
,internal_closed_loop_phase_disruption,0.0031113003836103683,0.008864149011749853,0.002641548244529117,,0.005752848628139485,delta_intervention_mean_R2,24,300,0.007368158305160181,0.0015040190159743793
,internal_closed_loop_phase_disruption,0.001232212214067512,0.0021904006638914213,-0.00027402376424360306,,0.000958188449823909,delta_intervention_mean_R4,24,300,0.0029181157520592345,0.0005956578835769262
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,330,nan,nan
,internal_closed_loop_phase_disruption,0.008026679283221275,0.12433204612957768,0.10827868756313513,,0.11630536684635641,delta_intervention_mean_R1,24,330,0.019008721862752292,0.003880139102185841
,internal_closed_loop_phase_disruption,0.004525566247157443,0.014335411103582128,0.005284278609267242,,0.009809844856424684,delta_intervention_mean_R2,24,330,0.010717412148695172,0.0021876825939507205
,internal_closed_loop_phase_disruption,0.0015077356538204716,0.0027613498145892673,-0.0002541214930516758,,0.0012536141607687957,delta_intervention_mean_R4,24,330,0.0035706083019834338,0.0007288473676004068
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,360,nan,nan
,internal_closed_loop_phase_disruption,0.009911810932895958,0.14579919753406914,0.12597557566827725,,0.1358873866011732,delta_intervention_mean_R1,24,360,0.023473076540314115,0.004791421684755323
,internal_closed_loop_phase_disruption,0.005221736216639798,0.01757595323815308,0.007132480804873481,,0.01235421702151328,delta_intervention_mean_R2,24,360,0.012366076665135155,0.002524214829143248
,internal_closed_loop_phase_disruption,0.0020175179995587404,0.0019102302995577202,-0.002124805699559761,,-0.00010728770000102029,delta_intervention_mean_R4,24,360,0.004777871041499701,0.0009752788423745248
0.35,k_dependent_phase_disruption,0.001600179949727593,-0.07489485202357646,-0.07809521192303165,,-0.07649503197330405,delta_intervention_mean_R1,24,,0.0037895341923413228,0.0007735354278388505
0.35,k_dependent_phase_disruption,0.0011733969113645628,0.001495530883446062,-0.0008512629392830634,,0.0003221339720814994,delta_intervention_mean_R2,24,,0.0027788297919622627,0.000567226256029323
0.35,k_dependent_phase_disruption,0.0008808068414463547,0.0005341576144825698,-0.0012274560684101396,,-0.0003466492269637848,delta_intervention_mean_R4,24,,0.0020859201760885346,0.00042578667296611224
0.5,k_dependent_phase_disruption,0.002717523555186974,-0.08354164053996958,-0.08897668765034354,,-0.08625916409515656,delta_intervention_mean_R1,24,,0.006435618964371537,0.0013136652201407484
0.5,k_dependent_phase_disruption,0.001550874488331859,0.0009787983953226226,-0.0021229505813410952,,-0.0005720760930092362,delta_intervention_mean_R2,24,,0.00367276936732267,0.0007497009077387619
0.5,k_dependent_phase_disruption,0.0008926070040664423,0.0009640369090596294,-0.0008211770990732552,,7.142990499318712e-05,delta_intervention_mean_R4,24,,0.002113865232975182,0.0004314909338165568
0.65,k_dependent_phase_disruption,0.003746650284925766,-0.09663958560783627,-0.1041328861776878,,-0.10038623589276204,delta_intervention_mean_R1,24,,0.008872789190921033,0.0018111505094198772
0.65,k_dependent_phase_disruption,0.0018558693364679043,0.0004368696965752893,-0.0032748689763605196,,-0.001418999639892615,delta_intervention_mean_R2,24,,0.004395055886220903,0.0008971370260214112
0.65,k_dependent_phase_disruption,0.0009403521998620014,0.0012079565638434787,-0.0006727478358805241,,0.00026760436398147734,delta_intervention_mean_R4,24,,0.0022269350486656633,0.00045457121329590836
0.8,k_dependent_phase_disruption,0.005587029830499532,-0.11539506955566967,-0.12656912921666874,,-0.1209820993861692,delta_intervention_mean_R1,24,,0.013231162270164168,0.0027007996888222434
0.8,k_dependent_phase_disruption,0.00211865235373157,-0.0007290251160782142,-0.004966329823541354,,-0.0028476774698097842,delta_intervention_mean_R2,24,,0.005017376662866558,0.0010241677226142773
0.8,k_dependent_phase_disruption,0.0011313750828135158,0.0009724356674930663,-0.0012903144981339654,,-0.0001589394153204495,delta_intervention_mean_R4,24,,0.0026793140117864103,0.0005469126824638384
0.95,k_dependent_phase_disruption,0.010336799433328183,-0.14299642633473345,-0.16367002520138982,,-0.15333322576806163,delta_intervention_mean_R1,24,,0.024479531129383267,0.004996863367463819
0.95,k_dependent_phase_disruption,0.0038677013050833708,-0.004148992537293785,-0.011884395147460527,,-0.008016693842377156,delta_intervention_mean_R2,24,,0.009159461311755402,0.0018696672110470177
0.95,k_dependent_phase_disruption,0.001742411266317257,0.0008359611569148323,-0.0026488613757196817,,-0.0009064501094024247,delta_intervention_mean_R4,24,,0.004126365332820249,0.000842290796476608
