k_base_cycles_per_s,transient_boost_cycles_per_s,driver_increment_mean_R1_post_mean,transient_increment_mean_R1_post_mean,both_increment_mean_R1_post_mean,both_minus_best_single_mean_R1_post_mean,both_minus_best_single_mean_R2_post_mean,both_minus_best_single_mean_R4_post_mean,both_minus_best_single_lock_fraction_post_mean,both_minus_best_single_time_to_sustained_lock_post_s_mean,synergy_mean_R1_post_mean,synergy_mean_R2_post_mean,synergy_mean_R4_post_mean,synergy_lock_fraction_post_mean,synergy_time_to_sustained_lock_post_s_mean,driver_only_driver_locking_plv_post_mean,transient_plus_driver_driver_locking_plv_post_mean,both_minus_driver_only_driver_locking_plv_post_mean,strict_subthreshold_ignition_candidate_mean
1.1,0.0,0.17686289478434292,0.0,0.17686289478434292,-0.0014643556140716777,-0.0019823348290300444,-0.008596991762822215,-0.0028395061728395056,-1.727310606060606,0.0,0.0,0.0,0.0,0.0,0.4702606150139914,0.4702606150139914,0.0,0.0
1.1,0.1,0.17686289478434292,0.007601789630532009,0.18006754376113254,0.0014696702774542683,0.0005485472130873523,-0.009105425434433082,0.012407407407407403,-1.857234848484849,-0.004397140653742384,0.001593986979035395,-0.0005307672776245611,0.006670524691358017,0.37287878787878787,0.4702606150139914,0.47368125736514705,0.0034206423511556256,0.041666666666666664
1.1,0.2,0.17686289478434292,0.012140637223254383,0.1849056190594844,0.006035491311120626,0.002631877309254986,-0.009852777974577476,0.020088734567901237,-1.6326984126984125,-0.004097912948112895,0.0010872707054631933,-0.0011419394425212141,0.0071643518518518514,0.8321825396825395,0.4702606150139914,0.4782763529790984,0.00801573796510693,0.048611111111111105
1.1,0.3,0.17686289478434292,0.01628716628915358,0.18847214103852905,0.009303603840574751,0.0057258614505339075,-0.00975223758022656,0.030077160493827162,-1.5344841269841267,-0.004677920034967421,0.0029013816595343123,-0.0007139974557241327,0.007476851851851852,1.0219047619047619,0.4702606150139914,0.4815672130602698,0.011306598046278371,0.05555555555555555
1.1,0.45,0.17686289478434292,0.023208554419636873,0.19542363996115564,0.015915333269244738,0.01053419559818601,-0.008643003996347265,0.044135802469135794,-2.1556818181818183,-0.0046478092428241385,0.004167577797217651,0.00036764879853428046,0.008020833333333333,0.66,0.4702606150139914,0.4880884936820693,0.01782787866807777,0.09722222222222221
1.1,0.6,0.17686289478434292,0.029029406807392574,0.20178872022151614,0.0218338947281692,0.015580188885492804,-0.008572412388035721,0.05024691358024691,-1.9288636363636364,-0.004103581370219382,0.00601603742584613,-0.00023846002977352503,0.002646604938271602,1.272121212121212,0.4702606150139914,0.4938021715648075,0.02354155655081602,0.08333333333333333
1.25,0.0,0.16214085210793203,0.0,0.16214085210793203,-0.002631958531720112,-0.0023272649173618405,-0.00970570807842251,-0.008649691358024693,-1.2413333333333334,0.0,0.0,0.0,0.0,0.0,0.6019499511190725,0.6019499511190725,0.0,0.0
1.25,0.1,0.16214085210793203,0.006222117459579524,0.16688750802126529,0.0010427887995185985,0.0016848651001879504,-0.009898586468345905,-0.0031828703703703676,-1.1657430555555557,-0.0014754615462462687,0.0013991649822213143,0.0006990658696886589,-0.003846450617283952,0.43272916666666666,0.6019499511190725,0.6063339339922597,0.00438398287318714,0.013888888888888888
1.25,0.2,0.16214085210793203,0.01066414598421222,0.16991530670006183,0.0037617262297996532,0.004561497148472406,-0.009805821021358503,0.0013040123456790126,-1.390517361111111,-0.002889691392082401,0.000502013450449739,0.0002643691209872124,-0.012851080246913582,0.48780208333333325,0.6019499511190725,0.6088872275927302,0.006937276473657679,0.013888888888888888
1.25,0.3,0.16214085210793203,0.01640395516351331,0.17238111443701584,0.006034847782240705,0.0076531085960376555,-0.008931127495726771,0.010516975308641978,-1.2796458333333334,-0.006163692834429504,0.0008471665166034076,0.0006351056163988642,-0.014197530864197528,0.7516041666666666,0.6019499511190725,0.6111768677096978,0.009226916590625368,0.020833333333333332
