time_s,condition,network,replicate,k_base_cycles_per_s,transient_boost_cycles_per_s,phase_offset_deg,R1,R2,R4,PCI,transient_profile,driver_phase_rad,population_phase_rad
0.75,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.17706118646919497,0.04889250108211339,0.1176428044201628,1.5621514189574855e-42,8.822664357494678e-42,47.12388980384689,2.0872190681471254
0.775,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18487356716767225,0.0399223022821247,0.1549652767357146,9.02662278017131e-42,4.882592421654609e-41,48.69468613064179,-2.5677111776967725
0.8,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.19115643909616473,0.044458240285633374,0.14239544618981037,5.085155857326234e-41,2.6602064159439866e-40,50.26548245743669,-0.9572406770442131
0.8250000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.19910196011602227,0.0546367510321854,0.12880501399603939,2.840991175332003e-40,1.4269026651854547e-39,51.83627878423159,0.6571900568841359
0.85,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20299802152326107,0.06687740290466554,0.1261738481043906,1.5296050741109315e-39,7.535073803345702e-39,53.40707511102648,2.2684085608242577
0.875,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20642153634181443,0.08280787518560255,0.14451026276279016,8.086299571411758e-39,3.9173720507639355e-38,54.97787143782138,-2.4236744785226167
0.9,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20571779981422192,0.08917423956006329,0.13769089047198144,4.1246599523334446e-38,2.005008781961654e-37,56.548667764616276,-0.8153767338508452
0.925,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20051344066810883,0.09355531049692893,0.13949850649433151,2.025794444814265e-37,1.0103035677131356e-36,58.119464091411174,0.783229383465113
0.9500000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.19666848104221915,0.08532583749078143,0.140898301475105,9.856810480709098e-37,5.011891294667151e-36,59.69026041820607,2.376682850533406
0.975,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18128524526239187,0.07862031864191903,0.1284599473223034,4.4373941467086407e-36,2.4477414807178413e-35,61.261056745000964,-2.304875071623766
1.0,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.17220023323346081,0.06336576191472146,0.11859078417477963,2.026643390383245e-35,1.1769109439216723e-34,62.83185307179586,-0.7166222186057972
1.025,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.15353309589578368,0.05889706458791086,0.12274928620602052,8.553380868775891e-35,5.571033931721026e-34,64.40264939859075,0.8705803845037554
1.05,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.13339567189304896,0.05770661070670175,0.12414959881289014,3.463250403935871e-34,2.596223966481131e-33,65.97344572538566,2.4725682970677814
1.075,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.10842929594840992,0.05600469933945419,0.12121711793117333,1.2915442560550719e-33,1.1911395760326451e-32,67.54424205218055,-2.1977908640102513
1.1,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.08508406915351528,0.060141959425492476,0.0918041927682906,4.577681312980309e-33,5.380186160021215e-32,69.11503837897546,-0.5790228892710837
1.125,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.06258705150427757,0.06626844838487939,0.06122081445722504,1.4973750501456744e-32,2.392467793507312e-31,70.68583470577035,1.0218945933293249
1.1500000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.03542995579656882,0.07482258981471772,0.0502355226133778,3.710903463295333e-32,1.0473915024344207e-30,72.25663103256525,2.6264512361280095
1.175,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.007071995511119797,0.08527765172154535,0.04577199257329879,3.1924794994208806e-32,4.514255551210575e-30,73.82742735936014,-2.307917830982977
1.2,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.019621179988916375,0.07911271314923293,0.03199837211077443,3.7583957281528846e-31,1.915478951967175e-29,75.39822368615503,2.7766765778109126
1.225,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.045181666327455364,0.08400701247919856,0.025205493081885116,3.615305652348047e-30,8.001709423787118e-29,76.96902001294994,-1.9015775985278043
1.25,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.0660154394954426,0.094849783360705,0.02430972785265122,2.172440226886647e-29,3.2908062772749125e-28,78.53981633974483,-0.2859167567963095
1.2750000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.0880171521182558,0.10931648809972216,0.030342949644426073,1.1727442682512654e-28,1.3324042417046397e-27,80.11061266653974,1.381579366815976
1.3,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.11395458523290959,0.1106591622850262,0.014808925332508365,6.05223314445902e-28,5.311092249679095e-27,81.68140899333463,2.9945753613407544
1.325,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.13166043746114708,0.11818380353771367,0.009863989030294049,2.7441075303722898e-27,2.084230907391656e-26,83.25220532012952,-1.6793653151512515
1.35,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.15014818411333786,0.13331888403022504,0.030321316911150264,1.209043848528297e-26,8.052337466936413e-26,84.82300164692442,-0.04070934890091356
1.375,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.1652322936886233,0.13889782728999894,0.07434466674694604,5.0606602714856227e-26,3.062754960614617e-25,86.39379797371932,1.5651225107804285
1.4000000000000001,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.18094312142989757,0.1474901783034679,0.09627921019606382,2.075194286827564e-25,1.1468765822256207e-24,87.96459430051422,-3.0805953673099538
1.425,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.19534914491764444,0.1570595200776932,0.1325429868428309,8.259367330089798e-25,4.228002806754948e-24,89.53539062730911,-1.438726970596057
1.45,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20167150604667022,0.1568460409120038,0.12088163121577464,3.0946571324198297e-24,1.534503903443689e-23,91.106186954104,0.1885087335633889
1.475,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.20828380953984557,0.15877132111764833,0.09133987604108745,1.1420112684529998e-23,5.482957465469866e-23,92.67698328089891,1.813844761583043
1.5,transient_only,network_10_00Hz,0,0.8,0.6,0.0,0.21884145719957357,0.16083509475986937,0.07096498749071126,4.220904273018797e-23,1.9287498479639178e-22,94.24777960769379,-2.8509249760473017
