analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,7,0.8098309590311129,0.911461232718228,0.10163027368711508,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,8,0.8463572201655352,0.9065947508867871,0.06023753072125193,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,9,0.8328325143220587,0.9068399360055778,0.07400742168351904,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,10,0.7260045065102179,0.896211817947666,0.17020731143744816,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,11,0.8797523744702419,0.9292787703657099,0.049526395895468034,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,12,0.6767602074578815,0.8927845493069188,0.2160243418490373,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,13,0.837298601207919,0.9077450614732607,0.07044646026534174,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,14,0.9166657793246631,0.9452646933316616,0.028598914006998544,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,15,0.7840515105108243,0.8892188337559185,0.10516732324509415,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,16,0.8896401125566032,0.933981187494223,0.04434107493761974,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,17,0.8539730883726356,0.9152405850517048,0.06126749667906917,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_20_80Hz,20.8,18,0.7708636597339349,0.8621080125474596,0.09124435281352472,,,,,,,,,,,,
