analysis,condition,network,network_frequency_hz,delta_mean_R_mean,delta_mean_R_sd,delta_mean_R_sem,delta_mean_R_ci95_low,delta_mean_R_ci95_high,delta_mean_R_ci95_halfwidth,delta_mean_R_ci_method,n_blocks,delta_lock_fraction_R_ge_0_55_mean,delta_strong_lock_fraction_R_ge_0_70_mean,coupling_multiplier,forcing_multiplier,coupling_strength_K_cycles_per_s,jitter_level,forcing_strength_cycles_per_s,natural_frequency_sd_hz
condition_comparison,SHARED_IRREGULAR_FORCING,network_7_83Hz,7.83,0.0052301045957729225,0.016270259965970944,0.0033211529082551343,-0.0016402236432544173,0.012100432834800261,0.00687032823902734,student_t,24,0.0,0.0,,,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.11356259543197156,0.05740784081637883,0.011718326436254119,0.08932139026823975,0.13780380059570338,0.02424120516373181,student_t,24,,,1.0,1.0,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.11752323330739238,0.06503012638551257,0.013274218962767231,0.09006341922769509,0.14498304738708967,0.027459814079697283,student_t,24,,,1.0,1.0,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.11768573421036162,0.07055883608505363,0.014402762104421539,0.08789135077199493,0.14748011764872831,0.029794383438366687,student_t,24,,,1.0,1.0,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.1193330560230091,0.06202607209005706,0.012661018947477062,0.09314174282165091,0.1455243692243673,0.026191313201358195,student_t,24,,,1.0,1.0,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.10674862559444113,0.06843886058839581,0.01397002391825362,0.07784942929820965,0.13564782189067262,0.02889919629623149,student_t,24,,,1.0,1.0,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.09068877990712927,0.07012117398995499,0.014313424703359112,0.06107920496336543,0.12029835485089312,0.02960957494376384,student_t,24,,,1.0,1.0,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.1294987669196973,0.06192869011697266,0.01264114093546021,0.10334857451917777,0.15564895932021683,0.026150192400519533,student_t,24,,,1.0,1.09,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.13291333383510193,0.07057081666828337,0.014405207630732688,0.1031138914401202,0.16271277623008365,0.029799442394981727,student_t,24,,,1.0,1.09,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.12927706699656857,0.07280439677724504,0.014861135261281534,0.09853446643885165,0.16001966755428548,0.030742600557716923,student_t,24,,,1.0,1.09,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.1350359767768857,0.06701754567772046,0.013679899227006615,0.1067369491311728,0.1633350044225986,0.028299027645712894,student_t,24,,,1.0,1.09,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.12414763399457567,0.07212874615446523,0.014723218655431183,0.09369033567315424,0.1546049323159971,0.03045729832142143,student_t,24,,,1.0,1.09,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.10865861442760967,0.07250313002998726,0.014799639444010736,0.07804322766029892,0.13927400119492042,0.030615386767310748,student_t,24,,,1.0,1.09,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.14606905659742014,0.06769492443013843,0.013818168585842207,0.11748399699026424,0.17465411620457605,0.028585059607155905,student_t,24,,,1.0,1.18,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.14989906394584251,0.07305795783818828,0.014912893196110675,0.11904939394234172,0.18074873394934332,0.030849670003500796,student_t,24,,,1.0,1.18,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.14600202639146334,0.07754366334095056,0.015828533997624197,0.1132582090755014,0.1787458437074253,0.032743817315961946,student_t,24,,,1.0,1.18,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.14730055493791683,0.06545986959182618,0.013361939927425225,0.11965927621708648,0.17494183365874716,0.02764127872083034,student_t,24,,,1.0,1.18,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.13577968762163564,0.07521915482048817,0.015354045682800471,0.10401742416918872,0.16754195107408257,0.03176226345244693,student_t,24,,,1.0,1.18,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.12571076360124323,0.0761273548178775,0.015539431230967208,0.09356500092371947,0.15785652627876698,0.03214576267752376,student_t,24,,,1.0,1.18,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.12995621538737112,0.06768123171064411,0.013815373571179528,0.1013769377085684,0.15853549306617384,0.02857927767880272,student_t,24,,,1.07,1.0,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.13039927997949338,0.07387645329824569,0.01507996788227111,0.09920398965495843,0.16159457030402835,0.031195290324534955,student_t,24,,,1.07,1.0,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.12696750580973395,0.07234541397481122,0.014767445789058573,0.0964187166917472,0.1575162949277207,0.03054878911798675,student_t,24,,,1.07,1.0,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.12738585708546582,0.06685824364471188,0.01364738183568503,0.0991540967887813,0.15561761738215035,0.028231760296684522,student_t,24,,,1.07,1.0,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.11506941074677213,0.07272459115173467,0.01484484500618953,0.08436050914922695,0.14577831234431732,0.03070890159754518,student_t,24,,,1.07,1.0,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.1050651444922317,0.0778813783772077,0.015897469790732154,0.07217872262322671,0.13795156636123668,0.03288642186900499,student_t,24,,,1.07,1.0,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.14843319894453855,0.07289382122731067,0.014879388950714017,0.1176528377532589,0.17921356013581818,0.03078036119127965,student_t,24,,,1.07,1.09,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.1472752098949827,0.07682979719789201,0.015682816681362354,0.11483283181427564,0.17971758797568974,0.03244237808070704,student_t,24,,,1.07,1.09,,,,
coupling_forcing_factorial,,network_20_80Hz,20.8,0.14238523186668087,0.07832958255283134,0.015988959084970715,0.10930954997287741,0.17546091376048434,0.03307568189380346,student_t,24,,,1.07,1.09,,,,
coupling_forcing_factorial,,network_27_30Hz,27.3,0.14317206302088362,0.06691478849550585,0.013658924005020617,0.11491642592776229,0.17142770011400493,0.02825563709312133,student_t,24,,,1.07,1.09,,,,
coupling_forcing_factorial,,network_33_80Hz,33.8,0.1301526751861568,0.07662793840881857,0.015641612428585184,0.09779553459653889,0.16250981577577472,0.032357140589617917,student_t,24,,,1.07,1.09,,,,
coupling_forcing_factorial,,network_7_83Hz,7.83,0.12290523502000432,0.08231266689071676,0.01680200277082827,0.08814764411784848,0.15766282592216016,0.03475759090215584,student_t,24,,,1.07,1.09,,,,
coupling_forcing_factorial,,network_10_00Hz,10.0,0.16476621243255138,0.08072196035257945,0.016477301158416145,0.13068031799202723,0.19885210687307553,0.034085894440524164,student_t,24,,,1.07,1.18,,,,
coupling_forcing_factorial,,network_14_30Hz,14.3,0.1594317063943809,0.07815941744310781,0.015954224277400102,0.12642787892460483,0.19243553386415696,0.03300382746977607,student_t,24,,,1.07,1.18,,,,
