mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.1956583484155152,0.4122363423803303,0.0,0.0,0.012361464117624467,network_10_00Hz,10.0,5,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.4022353167341654,0.5835364906552682,0.0255,0.0,0.3976988499975262,network_10_00Hz,10.0,6,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14789802274132022,0.36582048878089957,0.0,0.0,0.010966783266411914,network_10_00Hz,10.0,6,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.19213820672776666,0.38769564803928863,0.0,0.0,0.025244065783370975,network_10_00Hz,10.0,6,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.13098777189446292,0.33017201342512315,0.0,0.0,0.0032416003799524713,network_10_00Hz,10.0,6,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.27000023704630893,0.4030823361903892,0.0,0.0,0.19392390860155637,network_10_00Hz,10.0,6,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14974646180555679,0.35906110859574797,0.0,0.0,0.03621279185391682,network_10_00Hz,10.0,6,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1472239746554592,0.35888739557576643,0.0,0.0,,network_10_00Hz,10.0,6,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.15929671631228093,0.34344886322349355,0.0,0.0,0.003645720053896554,network_10_00Hz,10.0,6,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2116324917990096,0.4636798996006792,0.0,0.0,0.1868072756419784,network_10_00Hz,10.0,7,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1283789714247095,0.2852612611306905,0.0,0.0,0.010558436958113085,network_10_00Hz,10.0,7,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14541942059510096,0.3430587582899365,0.0,0.0,0.040727896592325494,network_10_00Hz,10.0,7,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.13294592368927657,0.3075351067894205,0.0,0.0,0.01262905863176113,network_10_00Hz,10.0,7,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2149896729955642,0.4046795333179314,0.0,0.0,0.1522710486661132,network_10_00Hz,10.0,7,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1349652979940233,0.33105323141016124,0.0,0.0,0.04307282888165211,network_10_00Hz,10.0,7,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.12776890193998575,0.27308773975300143,0.0,0.0,,network_10_00Hz,10.0,7,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.1402982664541212,0.3703992589373424,0.0,0.0,0.01423960333406116,network_10_00Hz,10.0,7,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.3272400928318233,0.4855920473899385,0.0,0.0,0.3164938684898583,network_10_00Hz,10.0,8,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.18638027840824034,0.32407583201057666,0.0,0.0,0.010348698504833699,network_10_00Hz,10.0,8,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
