analysis,mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators,base_mean_R,base_max_R,base_lock_fraction_R_ge_0_55,base_strong_lock_fraction_R_ge_0_70,delta_mean_R,delta_max_R,delta_lock_fraction_R_ge_0_55,delta_strong_lock_fraction_R_ge_0_70,stimulated_mean_R,coupling_strength_K_cycles_per_s,jitter_level
condition_comparison,0.1894790605029561,0.37610119645373313,0.0,0.0,0.17468188247974084,network_20_80Hz,20.8,12,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15637934993924174,0.3779703047969974,0.0,0.0,0.03309971056371436,-0.0018691083432642586,0.0,0.0,,,
condition_comparison,0.20368066200588106,0.38078331294914036,0.0,0.0,0.16825889936131874,network_20_80Hz,20.8,13,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.17692523483486408,0.4440187554212594,0.0,0.0,0.026755427171016977,-0.06323544247211904,0.0,0.0,,,
condition_comparison,0.3465722036622915,0.4829958806843416,0.0,0.0,0.3283109673865938,network_20_80Hz,20.8,14,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1426024018628022,0.3537804075020628,0.0,0.0,0.20396980179948931,0.12921547318227883,0.0,0.0,,,
condition_comparison,0.2557729774061599,0.4446588048973498,0.0,0.0,0.24261275973337437,network_20_80Hz,20.8,15,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15522663620413796,0.3157227371194312,0.0,0.0,0.10054634120202194,0.1289360677779186,0.0,0.0,,,
condition_comparison,0.34240625650116946,0.5415838892507255,0.0,0.0,0.33176469335515096,network_20_80Hz,20.8,16,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14032894335339166,0.28258240140919105,0.0,0.0,0.2020773131477778,0.2590014878415345,0.0,0.0,,,
condition_comparison,0.3936325501576789,0.6065964252878442,0.025,0.0,0.38240922742484873,network_20_80Hz,20.8,17,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14969139067673987,0.4048846915344362,0.0,0.0,0.24394115948093903,0.201711733753408,0.025,0.0,,,
condition_comparison,0.20196519997870627,0.32013504630858713,0.0,0.0,0.1855929745577106,network_20_80Hz,20.8,18,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.11857022603892034,0.2738340000976624,0.0,0.0,0.08339497393978593,0.046301046210924734,0.0,0.0,,,
condition_comparison,0.20682133018581242,0.46026444470413386,0.0,0.0,0.19250057791714237,network_20_80Hz,20.8,19,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15261799231801987,0.28999522382772625,0.0,0.0,0.05420333786779255,0.1702692208764076,0.0,0.0,,,
condition_comparison,0.21983409549456376,0.4115842237646321,0.0,0.0,0.16795812347499484,network_20_80Hz,20.8,20,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16573893934302253,0.42406251653461285,0.0,0.0,0.05409515615154123,-0.012478292769980748,0.0,0.0,,,
condition_comparison,0.24726855066660858,0.48626301949431155,0.0,0.0,0.22982180985644823,network_20_80Hz,20.8,21,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.109194658186447,0.2833765232267464,0.0,0.0,0.13807389248016158,0.20288649626756516,0.0,0.0,,,
